transaction_id,user_id,timestamp,amount,currency,channel,payment_method,merchant_id,merchant_category_code,merchant_category_desc,merchant_risk_score,device_id,device_type,device_fingerprint_score,ip_country,billing_country,is_cross_border,hour_of_day,is_night_time,time_since_last_txn_sec,txn_velocity_1h,txn_velocity_24h,amount_vs_user_avg_ratio,account_age_days,account_creation_channel,kyc_verification_level,credit_score_band,historical_avg_amount,historical_txn_count,num_devices_used,num_linked_accounts,behavioral_score,login_anomaly_score,password_reset_recent,mfa_enabled,prior_fraud_flags,shared_device_n_accounts,shared_ip_n_accounts,community_cluster_id,num_beneficiaries_30d,beneficiary_account_age_days,text_similarity_to_phishing_corpus,llm_generated_content_prob,voice_authenticity_score,deepfake_video_score,document_authenticity_score,image_manipulation_score,refund_count_30d,refund_to_purchase_ratio,structuring_score,is_fraud,attack_type,attack_category,genai_capability,fraud_severity,is_blended_attack,ground_truth_source
TXN282691870151,U6058470,2026-06-24 05:11:27,104.49,USD,p2p_transfer,upi,MID729019,5311,Department Stores,0.203,DEV25277700,windows_desktop,0.06970448553383253,VN,JP,True,5,False,360.74791788127226,2,1,13.32,349,api_partner_onboarding,unverified,near_prime,20.86,188,2,0,0.6450383335601471,0.7039811012911651,True,False,1,1,1,CLUSTER2683,1,2.9176767109556376,0.8709292406931944,0.7528809975346139,,,,,0,,0.177453378518337,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.926,True,synthetic
TXN126466165707,U6456839,2026-07-29 06:10:24,92.87,USD,p2p_transfer,prepaid_card,MID617233,5311,Department Stores,0.136,DEV98625750,mac_desktop,0.07319018882996632,BD,US,True,6,False,35.89454304644977,3,1,7.28,403,agent_assisted,unverified,thin_file,38.62,96,1,0,0.7203097558302008,0.9434380920566712,False,False,0,1,1,CLUSTER6761,3,2.2431521094715396,0.7757915489194198,0.9326198402018866,,,,,0,,0.052754648944081314,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.979,True,synthetic
TXN117647237675,U1130137,2026-07-08 10:51:59,134.44,USD,card_not_present_online,upi,MID268431,5921,Liquor Stores,0.032,DEV27072337,windows_desktop,0.1297752545496055,PK,SG,True,10,True,565.5734134115371,7,2,9.33,83,in_branch,basic_document,near_prime,31.8,96,1,0,0.6376385512844576,0.8026375147643041,True,True,0,1,2,CLUSTER1270,2,2.9136083479668544,0.9623571930429363,0.9436100104632725,,,,,0,,0.0785195116470002,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.847,True,synthetic
TXN309045992618,U2159110,2026-06-08 19:23:07,195.01,USD,card_not_present_online,credit_card,MID408867,5732,Electronics Stores,0.179,DEV26265606,android_mobile,0.034225704428876694,VN,SE,True,19,False,163.41492116009067,8,2,2.77,585,web_remote,basic_document,thin_file,34.8,93,1,0,0.647630013939357,0.7967626511873254,True,False,0,1,1,CLUSTER3778,3,0.8093796865731072,0.8436873878604065,0.9877180729414741,,,,,0,,0.2239287181064194,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.892,True,synthetic
TXN587564188339,U5011100,2026-06-04 06:21:24,266.49,USD,p2p_transfer,credit_card,MID913595,5691,Apparel,0.051,DEV95493118,windows_desktop,0.15135769011165656,PK,NL,True,6,True,64.991264997178,5,0,8.05,482,in_branch,in_branch_verified,thin_file,33.09,179,2,0,0.2674457898175588,0.8558354283238414,True,False,0,1,1,CLUSTER9416,3,1.945957813880122,0.817048179008857,0.8324188832391779,,,,,0,,0.24557135142801817,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.878,True,synthetic
TXN889456480963,U7402847,2026-07-22 00:47:32,438.54,USD,card_not_present_online,upi,MID247587,4899,Cable / Streaming Services,0.413,DEV18647396,mac_desktop,0.030885607981958968,EG,DE,True,0,False,431.8695471272057,6,2,17.79,732,mobile_app_remote,unverified,super_prime,37.06,237,2,0,0.7092712397562386,0.9628193119623732,True,False,0,1,2,CLUSTER3290,1,2.803253025088558,0.8009555912974616,0.8668864919993695,,,,,0,,0.07446626670788331,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.852,True,synthetic
TXN707371018781,U2728391,2026-08-21 03:31:23,838.39,USD,p2p_transfer,debit_card,MID246744,7995,Betting / Gambling,0.573,DEV18291443,windows_desktop,0.18664043279364867,RU,NL,True,3,False,219.9734953517811,8,1,24.96,611,web_remote,in_branch_verified,subprime,17.56,108,2,0,0.7162443573693256,0.7336420397817699,False,False,0,1,1,CLUSTER4044,2,1.703598327901159,0.8024384773210332,0.9668718059639936,,,,,0,,0.2751124918039014,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.887,True,synthetic
TXN188632162385,U2645240,2026-06-04 13:19:23,67.99,USD,p2p_transfer,bank_transfer,MID953224,5941,Sporting Goods,0.043,DEV53551767,ios_mobile,0.08311602132505186,EG,SG,True,13,False,372.2894598034555,7,1,8.53,243,mobile_app_remote,in_branch_verified,near_prime,45.0,17,2,0,0.731899443297104,0.7683952672142991,True,False,0,1,2,CLUSTER4158,3,1.3760271877253651,0.7212415601452773,0.9845770666497042,,,,,0,,0.1412911474275443,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.944,True,synthetic
TXN598962467214,U4324932,2026-06-13 22:09:32,228.87,USD,card_not_present_online,upi,MID430939,6051,Crypto / Digital Currency,0.233,DEV69868851,linux_desktop,0.044248561453223076,VN,SE,True,22,False,396.37278452009133,6,0,14.89,837,mobile_app_remote,video_verified,thin_file,15.37,87,1,1,0.22257043482421124,0.8850783789763875,True,False,0,1,2,CLUSTER9656,3,1.4386770174957273,0.8488920986241489,0.8237061241245557,,,,,0,,0.10486038739738637,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.982,True,synthetic
TXN941133211296,U7401649,2026-06-16 22:41:46,341.18,USD,card_not_present_online,prepaid_card,MID381631,5411,Grocery Stores,0.37,DEV41291120,windows_desktop,0.16279844853554956,BD,GB,True,22,False,55.82116257829415,3,0,3.32,526,api_partner_onboarding,video_verified,subprime,102.68,38,2,0,0.24352739954277558,0.7612689449749658,True,False,0,1,1,CLUSTER3328,3,1.1051994812639587,0.826020542272315,0.8840643547569642,,,,,0,,0.2807709334966292,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.884,True,synthetic
TXN637546644458,U8908228,2026-06-01 01:16:06,342.37,USD,card_not_present_online,bank_transfer,MID376414,5921,Liquor Stores,0.049,DEV29348605,ios_mobile,0.1481300430433743,RU,GB,True,1,False,33.61185642394962,6,1,8.54,635,api_partner_onboarding,unverified,near_prime,40.09,234,2,2,0.17955000133022528,0.7365885206178538,True,False,0,1,2,CLUSTER2057,1,0.10238980675733811,0.8387224115801505,0.9235879386696725,,,,,0,,0.10174078372267643,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.906,True,synthetic
TXN204521313513,U2618513,2026-06-03 22:06:08,462.49,USD,p2p_transfer,prepaid_card,MID833181,5411,Grocery Stores,0.048,DEV26926787,windows_desktop,0.15278074812927525,VN,DE,True,22,False,309.3834503393563,4,0,46.25,608,mobile_app_remote,basic_document,near_prime,7.77,253,2,0,0.13841356330050184,0.872814999357639,True,False,0,1,2,CLUSTER8393,2,1.5476267580504501,0.8760325139223153,0.8292699559677806,,,,,0,,0.07529631943468863,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.887,True,synthetic
TXN980510262263,U4640747,2026-08-23 18:27:23,274.26,USD,card_not_present_online,digital_wallet,MID964996,6300,Insurance,0.13,DEV60089158,ios_mobile,0.1645585008489324,RU,JP,True,18,False,297.6943891152758,5,0,31.11,204,in_branch,basic_document,prime,22.15,235,1,1,0.7661632472729145,0.9027741701613805,True,False,0,1,2,CLUSTER7391,3,1.6131943599600542,0.7564065785891464,0.7708151059891691,,,,,0,,0.2951478471599745,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.977,True,synthetic
TXN785665542614,U2760487,2026-06-13 19:13:46,122.53,USD,card_not_present_online,debit_card,MID998098,5921,Liquor Stores,0.099,DEV23090024,mac_desktop,0.028739804372872668,ID,AU,True,19,False,246.97948031726708,5,1,4.55,573,web_remote,in_branch_verified,thin_file,42.44,102,1,1,0.6243592192949686,0.7077488750400253,True,False,0,1,1,CLUSTER6241,1,2.6176361672407746,0.8857509204939705,0.8583996832337643,,,,,0,,0.2051902023780963,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.854,True,synthetic
TXN403713736032,U1126722,2026-07-08 17:26:47,540.34,USD,card_not_present_online,bank_transfer,MID830660,5541,Fuel / Gas Stations,0.249,DEV89711427,windows_desktop,0.19263885521019122,VN,NL,True,17,False,211.96441408060358,8,1,16.09,640,web_remote,basic_document,subprime,33.58,26,2,0,0.2674352576172116,0.7295895796740045,True,False,1,1,1,CLUSTER2009,2,0.13472304286404102,0.8736870825587036,0.7554780536148189,,,,,0,,0.14100935925038505,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.896,True,synthetic
TXN227621646299,U6122828,2026-08-06 14:14:26,715.32,USD,card_not_present_online,digital_wallet,MID605215,6011,ATM / Cash Disbursement,0.184,DEV55759177,windows_desktop,0.03777797106717691,EG,NL,True,14,False,54.94463401655619,8,1,10.65,771,in_branch,unverified,super_prime,67.19,157,2,0,0.233941710791997,0.949064415282717,True,False,0,1,2,CLUSTER4655,2,0.8266343205511283,0.850867764765098,0.8701266694098153,,,,,0,,0.2416620271110148,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.861,True,synthetic
TXN261308319649,U1373197,2026-08-06 20:48:26,501.78,USD,p2p_transfer,credit_card,MID833875,4899,Cable / Streaming Services,0.041,DEV15141734,windows_desktop,0.15813684429157043,EG,SE,True,20,False,209.00467375090602,3,0,4.61,495,web_remote,video_verified,subprime,64.14,94,2,0,0.6894948766990117,0.9381971130173941,False,False,0,1,2,CLUSTER5871,3,2.125692847160326,0.9656963323497132,0.8161796245919024,,,,,0,,0.13509310016623907,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.954,True,synthetic
TXN999829192581,U8962728,2026-08-06 06:28:09,252.15,USD,card_not_present_online,digital_wallet,MID256985,5812,Restaurants,0.118,DEV39968290,mac_desktop,0.13117481950652762,NG,SG,True,6,False,387.18721528658136,7,0,2.73,454,api_partner_onboarding,video_verified,subprime,92.29,229,2,0,0.24519938992215928,0.7853342647262489,True,False,0,1,1,CLUSTER6038,3,1.3375740363254915,0.7170979874892902,0.9775177481309435,,,,,0,,0.0119210804685286,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.907,True,synthetic
TXN629826319307,U1038480,2026-08-26 13:41:34,281.06,USD,card_not_present_online,digital_wallet,MID704192,5999,Misc Retail,0.192,DEV96518653,android_mobile,0.06293888929800452,VN,SE,True,13,True,492.35158672525097,8,1,8.75,104,agent_assisted,unverified,prime,32.11,197,2,0,0.15104591766121223,0.7941874312735195,True,False,0,1,1,CLUSTER6240,2,2.844640686382537,0.8466811938512141,0.8025066967500758,,,,,0,,0.05079736222559976,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.95,True,synthetic
TXN725081642661,U8413163,2026-08-25 00:30:44,1026.41,USD,card_not_present_online,upi,MID884338,5541,Fuel / Gas Stations,0.094,DEV57441064,windows_desktop,0.13057252452136248,ID,GB,True,0,False,60.988143941819466,8,0,25.48,87,mobile_app_remote,basic_document,near_prime,40.28,117,2,1,0.19500270732035196,0.9104632094424123,False,False,0,1,1,CLUSTER4159,3,1.9038550658525817,0.8775876704751768,0.9007751210318451,,,,,0,,0.1547116414053613,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.956,True,synthetic
TXN184337705205,U7535770,2026-07-17 18:27:24,451.08,USD,card_not_present_online,bank_transfer,MID239561,4111,Transit / Transportation,0.12,DEV46130604,windows_desktop,0.021728349390573564,EG,AU,True,18,False,165.65635601998554,6,2,19.25,756,agent_assisted,unverified,subprime,37.51,101,2,0,0.79125988543226,0.9219282526352056,True,True,0,1,1,CLUSTER2033,3,0.23252499993941833,0.8165399029862157,0.7833162000513602,,,,,0,,0.06505488685672585,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.861,True,synthetic
TXN762964298709,U9822264,2026-08-15 16:23:06,238.4,USD,card_not_present_online,credit_card,MID699343,5732,Electronics Stores,0.322,DEV75063089,windows_desktop,0.04518636288305104,RU,DE,True,16,False,428.00390239605423,6,3,11.07,883,agent_assisted,in_branch_verified,subprime,21.53,282,2,0,0.23102941801060664,0.8660609879864269,True,False,0,1,2,CLUSTER5029,2,2.440852651616719,0.7473084938811163,0.7816039358892578,,,,,0,,0.15057967468715885,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.851,True,synthetic
TXN693477365793,U8660242,2026-08-07 20:45:18,811.62,USD,p2p_transfer,digital_wallet,MID140839,5812,Restaurants,0.115,DEV54753155,android_mobile,0.16918489732624487,PK,GB,True,20,True,568.153243127288,2,2,18.12,211,in_branch,basic_document,prime,44.79,144,1,2,0.28448501637712775,0.8297633396198951,False,False,0,1,2,CLUSTER8470,3,0.5578813936445941,0.8720614005453693,0.9621056070477846,,,,,0,,0.09686396721296822,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.86,True,synthetic
TXN119542895577,U9566734,2026-06-27 19:04:42,287.68,USD,p2p_transfer,prepaid_card,MID411461,5964,Direct Marketing / Catalog,0.237,DEV97387645,android_mobile,0.025173230446371604,RU,AU,True,19,False,508.7594628850396,2,0,14.54,651,agent_assisted,video_verified,near_prime,25.25,105,2,1,0.7447752560667995,0.8298435739105433,True,False,0,1,1,CLUSTER1670,1,0.5452651375549208,0.7185457478520438,0.891028692049819,,,,,0,,0.08961052705174184,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.912,True,synthetic
TXN441740044090,U0282765,2026-07-05 15:53:55,1196.91,USD,card_not_present_online,digital_wallet,MID702222,5812,Restaurants,0.243,DEV80262798,android_mobile,0.15197063640024472,PK,NL,True,15,True,245.15159690670308,8,2,6.26,707,mobile_app_remote,basic_document,thin_file,32.32,15,1,1,0.5944533408429844,0.8355675433847434,True,True,0,1,2,CLUSTER2223,1,1.0784091793291277,0.7731261334172705,0.824879516030295,,,,,0,,0.06588967294799256,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.911,True,synthetic
TXN274303046279,U8436660,2026-08-14 23:59:41,290.82,USD,card_not_present_online,debit_card,MID830018,5541,Fuel / Gas Stations,0.339,DEV43704922,linux_desktop,0.08370059271331062,VN,CA,True,23,False,67.88473476571221,7,2,16.85,371,mobile_app_remote,unverified,thin_file,21.87,104,1,0,0.6689058266458889,0.7445974383391819,True,False,0,1,2,CLUSTER7954,2,0.9408428450223026,0.8820348254480641,0.9636811878256877,,,,,0,,0.08251139699835167,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.863,True,synthetic
TXN218256850688,U3876629,2026-08-26 07:30:41,619.95,USD,card_not_present_online,debit_card,MID757431,5541,Fuel / Gas Stations,0.077,DEV18786470,linux_desktop,0.10293043733368075,BD,CA,True,7,False,357.37768637864434,8,1,18.75,875,mobile_app_remote,video_verified,prime,23.56,278,1,0,0.7628370020545148,0.7216489300474451,True,False,0,1,1,CLUSTER3992,3,2.3292111133547495,0.9040238879624681,0.9678653109023321,,,,,0,,0.16379567105208978,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.941,True,synthetic
TXN443849924608,U9435235,2026-06-08 04:19:55,426.44,USD,p2p_transfer,prepaid_card,MID471394,5967,Direct Marketing / Adult,0.139,DEV96248376,mac_desktop,0.020986389013176378,RU,JP,True,4,False,533.6871593219246,2,0,17.97,865,agent_assisted,unverified,prime,23.73,38,1,0,0.14812624417983355,0.7209073459253996,True,False,0,1,1,CLUSTER9460,1,1.8031310496676305,0.8887031608082947,0.9796466320901851,,,,,0,,0.07486239958104837,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.981,True,synthetic
TXN792027162872,U3614644,2026-07-12 09:13:52,413.24,USD,card_not_present_online,credit_card,MID931585,5999,Misc Retail,0.048,DEV23177008,linux_desktop,0.07471039441188232,BD,CA,True,9,False,243.49212727477465,6,0,9.16,99,agent_assisted,in_branch_verified,super_prime,32.5,51,2,1,0.8479102531190512,0.7765249806161392,True,False,0,1,2,CLUSTER8603,3,2.085209895735198,0.9005852453896397,0.9817801178148057,,,,,0,,0.04711613971543723,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.834,True,synthetic
TXN337096660680,U7480282,2026-07-03 12:38:44,231.24,USD,card_not_present_online,upi,MID592546,5999,Misc Retail,0.133,DEV38757295,linux_desktop,0.12356335705487367,ID,AU,True,12,False,538.4699633147738,4,2,9.95,110,web_remote,in_branch_verified,thin_file,23.23,105,1,0,0.21240048025619315,0.757162977460393,False,False,0,1,1,CLUSTER2790,2,2.2287064050161796,0.8586391247052223,0.9727630009810339,,,,,0,,0.25204591322671965,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.942,True,synthetic
TXN477016376060,U2274842,2026-06-12 21:07:14,681.22,USD,card_not_present_online,prepaid_card,MID996966,6300,Insurance,0.043,DEV86255461,windows_desktop,0.08942130172283552,EG,SE,True,21,False,397.84789422209116,2,1,2.72,880,agent_assisted,video_verified,near_prime,75.59,243,2,1,0.5634754259776349,0.9182456888893344,True,True,0,1,1,CLUSTER6696,2,0.49109383494624936,0.7614966930164094,0.8837034544890311,,,,,0,,0.19527801842797235,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.952,True,synthetic
TXN358516332485,U1085874,2026-07-29 13:28:42,294.35,USD,card_not_present_online,credit_card,MID106120,4829,Money Transfer,0.251,DEV38641355,android_mobile,0.10938152055113928,BD,JP,True,13,True,232.59651659936,2,1,4.95,257,mobile_app_remote,in_branch_verified,near_prime,59.44,17,2,0,0.11285729164395625,0.7873522021234198,True,False,1,1,1,CLUSTER7382,3,0.1963642045251891,0.9373425902459795,0.900498942819657,,,,,0,,0.08331926091384127,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.927,True,synthetic
TXN353992346908,U6261297,2026-06-21 22:35:33,285.0,USD,card_not_present_online,upi,MID498763,6051,Crypto / Digital Currency,0.253,DEV44382255,linux_desktop,0.16578878729530078,ID,NL,True,22,False,441.1478640849115,7,1,2.73,366,web_remote,video_verified,near_prime,104.3,169,2,1,0.2851605185434212,0.9143558076718865,False,False,0,1,2,CLUSTER7015,1,0.39085839952559864,0.7099520375271148,0.9525453137580899,,,,,0,,0.27725801420780793,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.957,True,synthetic
TXN922640011936,U1861739,2026-07-29 20:47:15,867.49,USD,p2p_transfer,debit_card,MID514250,4722,Travel Agencies,0.107,DEV50584168,mac_desktop,0.13121680734831914,EG,GB,True,20,False,100.57386517847559,3,0,36.51,769,in_branch,unverified,near_prime,23.76,202,1,0,0.3949741934105716,0.953056552328265,True,True,0,1,1,CLUSTER2056,2,1.2201213498811418,0.9384871082332953,0.8747230570205143,,,,,0,,0.24199386792946434,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.86,True,synthetic
TXN780471988816,U1326532,2026-07-07 04:57:29,139.06,USD,card_not_present_online,upi,MID754660,5964,Direct Marketing / Catalog,0.083,DEV41689341,windows_desktop,0.19468270241467395,RU,AU,True,4,False,259.1327807412365,5,1,5.79,423,api_partner_onboarding,video_verified,thin_file,24.01,202,2,0,0.2947272877476624,0.7588550616981838,True,False,0,1,1,CLUSTER5725,2,2.565134761820878,0.946004217624308,0.7681297699192297,,,,,0,,0.20484330586609362,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.927,True,synthetic
TXN339720622474,U4085619,2026-06-28 22:50:09,606.13,USD,p2p_transfer,digital_wallet,MID913862,7011,Hotels / Lodging,0.162,DEV51318464,android_mobile,0.1887204528968653,ID,CA,True,22,False,581.1855096795672,5,3,16.63,311,api_partner_onboarding,in_branch_verified,super_prime,36.45,9,1,0,0.17142085881885993,0.7777717017076635,True,False,0,1,1,CLUSTER9575,2,2.875388577186067,0.7293688478306821,0.9793549269499928,,,,,0,,0.009450427309260833,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.928,True,synthetic
TXN903987186900,U3916939,2026-07-03 02:04:51,261.81,USD,card_not_present_online,digital_wallet,MID763515,4722,Travel Agencies,0.03,DEV72799168,windows_desktop,0.08798065363580858,ID,JP,True,2,True,241.82697720732304,6,3,1.96,157,mobile_app_remote,basic_document,prime,133.42,43,2,1,0.18752471174874574,0.8514587392892363,False,False,0,1,1,CLUSTER2715,2,1.098245690979688,0.9605153921042268,0.865392861054471,,,,,0,,0.09006302909159206,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.978,True,synthetic
TXN232796731192,U6245098,2026-06-26 06:16:46,372.96,USD,p2p_transfer,debit_card,MID539051,6012,Financial Institutions - Merchandise/Services,0.181,DEV25446651,linux_desktop,0.10933617642447799,PK,DE,True,6,False,434.15105965404626,6,1,4.73,307,web_remote,basic_document,subprime,78.8,291,1,0,0.38259594865004,0.8797680264959874,True,False,0,1,2,CLUSTER2513,3,1.0831658544760145,0.7895489448730386,0.7550614213351976,,,,,0,,0.23282954255258428,1,ai_phishing+account_takeover,social_engineering+access,text_generation+credential_stuffing_automation,0.964,True,synthetic
