transaction_id,user_id,timestamp,amount,currency,channel,payment_method,merchant_id,merchant_category_code,merchant_category_desc,merchant_risk_score,device_id,device_type,device_fingerprint_score,ip_country,billing_country,is_cross_border,hour_of_day,is_night_time,time_since_last_txn_sec,txn_velocity_1h,txn_velocity_24h,amount_vs_user_avg_ratio,account_age_days,account_creation_channel,kyc_verification_level,credit_score_band,historical_avg_amount,historical_txn_count,num_devices_used,num_linked_accounts,behavioral_score,login_anomaly_score,password_reset_recent,mfa_enabled,prior_fraud_flags,shared_device_n_accounts,shared_ip_n_accounts,community_cluster_id,num_beneficiaries_30d,beneficiary_account_age_days,text_similarity_to_phishing_corpus,llm_generated_content_prob,voice_authenticity_score,deepfake_video_score,document_authenticity_score,image_manipulation_score,refund_count_30d,refund_to_purchase_ratio,structuring_score,is_fraud,attack_type,attack_category,genai_capability,fraud_severity,is_blended_attack,ground_truth_source
TXN943685781425,U7932719,2026-06-19 18:43:58,66.25,USD,mobile_app,debit_card,MID557050,6300,Insurance,0.341,DEV19583675,mac_desktop,0.804,JP,JP,False,18,False,52259.81503783757,0,0,0.94,2000,agent_assisted,basic_document,near_prime,70.51,271,2,0,0.782,0.074,False,False,0,1,1,CLUSTER8912,2,589.8062278436141,,,,,,,0,,0.084,0,legitimate,legitimate,none,0.0,False,synthetic
TXN107753080314,U9188070,2026-08-07 01:57:06,48.2,USD,card_not_present_online,credit_card,MID588971,5732,Electronics Stores,0.392,DEV37091150,android_mobile,0.968,NL,NL,False,1,True,91193.50126341158,0,1,1.1,318,web_remote,basic_document,prime,43.91,824,1,0,0.96,0.119,False,True,0,1,2,CLUSTER1050,0,103.0072269475569,,,,,,,0,,0.097,0,legitimate,legitimate,none,0.0,False,synthetic
TXN898406073220,U6413235,2026-07-27 17:05:59,79.17,USD,p2p_transfer,digital_wallet,MID859658,6012,Financial Institutions - Merchandise/Services,0.3,DEV72675281,mac_desktop,0.826,JP,JP,False,17,False,18823.173387523886,0,1,1.1,221,api_partner_onboarding,basic_document,near_prime,71.99,737,2,0,0.875,0.021,False,False,0,1,1,CLUSTER4098,2,419.40615040274935,,,,,,,0,,0.11,0,legitimate,legitimate,none,0.0,False,synthetic
TXN966566462822,U4268718,2026-06-13 08:43:03,3085.63,USD,card_not_present_online,bank_transfer,MID775682,4829,Money Transfer,0.352,DEV26389907,ios_mobile,0.906,TR,SE,True,8,False,91409.30643250066,0,3,1.57,1616,in_branch,video_verified,super_prime,77.63,188,3,0,0.936,0.127,False,True,0,1,2,CLUSTER8262,6,1.8761338343465266,0.6696244490166028,0.8276238840464653,,,,,0,,0.10633818812385668,1,payment_diversion_invoice_fraud,social_engineering,text_generation,0.975,False,synthetic
TXN115558139410,U6046303,2026-06-08 05:44:09,769.88,USD,digital_wallet,bank_transfer,MID650624,7995,Betting / Gambling,0.085,DEV55543571,ios_mobile,0.48269693271183783,FR,FR,False,5,False,38976.328061396016,0,1,15.79,4,web_remote,basic_document,thin_file,48.75,5,1,1,0.5372038227500154,0.026,False,False,0,1,2,CLUSTER9101,0,362.92568440541135,,0.5039878149124872,,,0.5964935197306204,0.4102113686855753,0,,0.021,1,synthetic_identity_fraud,identity,text_generation,0.701,False,synthetic
TXN318150443471,U5421686,2026-06-30 07:44:37,1950.23,USD,card_not_present_online,digital_wallet,MID645265,7995,Crypto / Digital Currency,0.8014733332147865,DEV82060479,windows_desktop,0.833,CA,CA,False,7,False,47120.5176121782,12,0,0.83,2145,api_partner_onboarding,in_branch_verified,super_prime,61.12,612,1,0,0.848,0.08,False,False,0,1,2,CLUSTER1035,0,87.46118879669456,,,,,,,0,,0.09781623201955572,1,merchant_fraud,merchant,text_generation,0.939,False,synthetic
TXN940106373279,U6417746,2026-08-09 19:19:57,672.65,USD,mobile_app,upi,MID215266,5921,Liquor Stores,0.333,DEV72034730,mac_desktop,0.0573082644485363,PK,CA,True,19,False,109.04246182472008,6,0,23.57,1293,agent_assisted,basic_document,super_prime,28.54,632,2,0,0.3270086785656361,0.9054497567415303,True,False,0,1,2,CLUSTER9696,0,248.24900980596982,,,,,,,0,,0.076,1,account_takeover,access,credential_stuffing_automation,0.882,False,synthetic
TXN317917390915,U9303671,2026-06-21 07:56:39,22.1,USD,card_not_present_online,digital_wallet,MID137946,5691,Insurance,0.295,DEV74109337,mac_desktop,0.937,DE,DE,False,7,False,27810.159623761367,0,1,1.42,1165,in_branch,video_verified,prime,69.12,530,2,1,0.827,0.122,False,False,0,1,2,CLUSTER1415,0,116.765012548744,0.10392450577602716,0.5223035825178003,,,,,7,0.9750097170416535,0.028,1,refund_fraud,merchant,text_generation,0.486,False,synthetic
TXN469555741277,U7494184,2026-06-21 07:10:17,52.14,USD,phone_banking,bank_transfer,MID675994,5999,Misc Retail,0.431,DEV96039127,linux_desktop,0.962,SG,AU,True,7,False,24542.359337481692,0,1,0.97,292,api_partner_onboarding,in_branch_verified,near_prime,53.64,138,3,0,0.926,0.044,False,False,0,1,1,CLUSTER7017,1,639.9227624721416,,,,,,,0,,0.079,0,legitimate,legitimate,none,0.0,False,synthetic
TXN649256541029,U4938372,2026-07-06 18:48:40,142.14,USD,card_present,digital_wallet,MID395436,5967,Direct Marketing / Adult,0.356,DEV99074396,windows_desktop,0.96,AU,AU,False,18,False,75943.00529080456,0,1,0.88,332,api_partner_onboarding,in_branch_verified,near_prime,161.0,157,1,2,0.94,0.044,False,True,0,1,1,CLUSTER2932,1,399.62189321846114,,,,,,,0,,0.002,0,legitimate,legitimate,none,0.0,False,synthetic
